-START-OF-DATA-	
2074.5	3.439472100E-07
2075.5	3.439906300E-07
2076.5	3.440309300E-07
2077.5	3.440681300E-07
2078.5	3.441022500E-07
2079.5	3.441333300E-07
2080.5	3.441613800E-07
2081.5	3.441864400E-07
2082.5	3.442082800E-07
2083.5	3.442266600E-07
2084.5	3.442416100E-07
2085.5	3.442531600E-07
2086.5	3.442613300E-07
2087.5	3.442661600E-07
2088.5	3.442676700E-07
2089.5	3.442658900E-07
2090.5	3.442608500E-07
2091.5	3.442525900E-07
2092.5	3.442408700E-07
2093.5	3.442254400E-07
2094.5	3.442063400E-07
2095.5	3.441836000E-07
2096.5	3.441572400E-07
2097.5	3.441273000E-07
2098.5	3.440938100E-07
2099.5	3.440568000E-07
2100.5	3.440163000E-07
2101.5	3.439723500E-07
2102.5	3.439268300E-07
2103.5	3.438816300E-07
2104.5	3.438367700E-07
2105.5	3.437922900E-07
2106.5	3.437482000E-07
2107.5	3.437045100E-07
2108.5	3.436612200E-07
2109.5	3.436183200E-07
2110.5	3.435758100E-07
2111.5	3.435336900E-07
2112.5	3.434919500E-07
2113.5	3.434505900E-07
2114.5	3.434096100E-07
2115.5	3.433690000E-07
2116.5	3.433287700E-07
2117.5	3.432888900E-07
2118.5	3.432493800E-07
2119.5	3.432102400E-07
2120.5	3.431714400E-07
2121.5	3.431330000E-07
2122.5	3.430949100E-07
2123.5	3.430571700E-07
2124.5	3.430197700E-07
2125.5	3.429827100E-07
2126.5	3.429459900E-07
2127.5	3.429096000E-07
2128.5	3.428735500E-07
2129.5	3.428378200E-07
2130.5	3.428024200E-07
2131.5	3.427673400E-07
2132.5	3.427325800E-07
2133.5	3.426981300E-07
2134.5	3.426640000E-07
2135.5	3.426301800E-07
2136.5	3.425966700E-07
2137.5	3.425634600E-07
2138.5	3.425305600E-07
2139.5	3.424979500E-07
2140.5	3.424656400E-07
2141.5	3.424336300E-07
2142.5	3.424019000E-07
2143.5	3.423704700E-07
2144.5	3.423393200E-07
2145.5	3.423084600E-07
2146.5	3.422778700E-07
2147.5	3.422475700E-07
2148.5	3.422175400E-07
2149.5	3.421877800E-07
2150.5	3.421583000E-07
2151.5	3.421290800E-07
2152.5	3.421001300E-07
2153.5	3.420714400E-07
2154.5	3.420430100E-07
2155.5	3.420148500E-07
2156.5	3.419869300E-07
2157.5	3.419592800E-07
2158.5	3.419318700E-07
2159.5	3.419047200E-07
2160.5	3.418778100E-07
2161.5	3.418511400E-07
2162.5	3.418247200E-07
2163.5	3.417985400E-07
2164.5	3.417726000E-07
2165.5	3.417468900E-07
2166.5	3.417214200E-07
2167.5	3.416961800E-07
2168.5	3.416711700E-07
2169.5	3.416463800E-07
2170.5	3.416218300E-07
2171.5	3.415974900E-07
2172.5	3.415733800E-07
2173.5	3.415494900E-07
2174.5	3.415258100E-07
2175.5	3.415023500E-07
2176.5	3.414791000E-07
2177.5	3.414560700E-07
2178.5	3.414332400E-07
2179.5	3.414106300E-07
2180.5	3.413882100E-07
2181.5	3.413660100E-07
2182.5	3.413440000E-07
2183.5	3.413222000E-07
2184.5	3.413005900E-07
2185.5	3.412791800E-07
2186.5	3.412579600E-07
2187.5	3.412369400E-07
2188.5	3.412161100E-07
2189.5	3.411954700E-07
2190.5	3.411750100E-07
2191.5	3.411547500E-07
2192.5	3.411346600E-07
2193.5	3.411147600E-07
2194.5	3.410950400E-07
2195.5	3.410755000E-07
2196.5	3.410561400E-07
2197.5	3.410369600E-07
2198.5	3.410179400E-07
2199.5	3.409991100E-07
2200.5	3.409804400E-07
2201.5	3.409619400E-07
2202.5	3.409436100E-07
2203.5	3.409254500E-07
2204.5	3.409074600E-07
2205.5	3.408896200E-07
2206.5	3.408719500E-07
