-START-OF-DATA-	
2344.5	1.258239300E-06
2345.5	1.258278000E-06
2346.5	1.258360700E-06
2347.5	1.258468200E-06
2348.5	1.258589000E-06
2349.5	1.258718100E-06
2350.5	1.258851500E-06
2351.5	1.258937600E-06
2352.5	1.258949500E-06
2353.5	1.258928100E-06
2354.5	1.258902100E-06
2355.5	1.258895400E-06
2356.5	1.258933600E-06
2357.5	1.259015800E-06
2358.5	1.259122700E-06
2359.5	1.259242900E-06
2360.5	1.259371600E-06
2361.5	1.259504500E-06
2362.5	1.259590000E-06
2363.5	1.259601400E-06
2364.5	1.259579500E-06
2365.5	1.259553000E-06
2366.5	1.259545800E-06
2367.5	1.259583500E-06
2368.5	1.259665100E-06
2369.5	1.259771500E-06
2370.5	1.259891200E-06
2371.5	1.260019400E-06
2372.5	1.260151800E-06
2373.5	1.260236800E-06
2374.5	1.260247700E-06
2375.5	1.260225300E-06
2376.5	1.260198400E-06
2377.5	1.260190600E-06
2378.5	1.260227900E-06
2379.5	1.260309000E-06
2380.5	1.260414900E-06
2381.5	1.260534200E-06
2382.5	1.260661800E-06
2383.5	1.260793800E-06
2384.5	1.260878400E-06
2385.5	1.260888800E-06
2386.5	1.260866000E-06
2387.5	1.260838500E-06
2388.5	1.260830300E-06
2389.5	1.260867100E-06
2390.5	1.260947700E-06
2391.5	1.261053200E-06
2392.5	1.261172000E-06
2393.5	1.261299200E-06
2394.5	1.261430700E-06
2395.5	1.261514900E-06
2396.5	1.261524900E-06
2397.5	1.261501600E-06
2398.5	1.261473800E-06
2399.5	1.261465100E-06
2400.5	1.261501400E-06
2401.5	1.261581600E-06
2402.5	1.261686700E-06
2403.5	1.261805000E-06
2404.5	1.261931800E-06
2405.5	1.262062900E-06
2406.5	1.262146700E-06
2407.5	1.262156300E-06
2408.5	1.262132600E-06
2409.5	1.262104300E-06
2410.5	1.262095300E-06
2411.5	1.262131100E-06
2412.5	1.262210900E-06
2413.5	1.262315500E-06
2414.5	1.262433500E-06
2415.5	1.262559900E-06
2416.5	1.262690600E-06
2417.5	1.262773900E-06
2418.5	1.262783100E-06
2419.5	1.262759100E-06
2420.5	1.262730400E-06
2421.5	1.262720900E-06
2422.5	1.262756400E-06
2423.5	1.262835800E-06
2424.5	1.262940000E-06
2425.5	1.263057500E-06
2426.5	1.263183600E-06
2427.5	1.263313900E-06
2428.5	1.263396900E-06
2429.5	1.263405700E-06
2430.5	1.263381300E-06
2431.5	1.263352200E-06
2432.5	1.263342400E-06
2433.5	1.263377400E-06
2434.5	1.263456400E-06
2435.5	1.263560300E-06
2436.5	1.263677400E-06
2437.5	1.263803100E-06
2438.5	1.263933100E-06
2439.5	1.264015700E-06
2440.5	1.264024100E-06
2441.5	1.263999400E-06
2442.5	1.263969900E-06
2443.5	1.263959700E-06
2444.5	1.263994400E-06
2445.5	1.264073100E-06
2446.5	1.264176500E-06
2447.5	1.264293300E-06
2448.5	1.264418700E-06
2449.5	1.264548300E-06
2450.5	1.264630600E-06
2451.5	1.264638700E-06
2452.5	1.264613600E-06
2453.5	1.264583800E-06
2454.5	1.264573200E-06
2455.5	1.264607600E-06
2456.5	1.264685800E-06
2457.5	1.264789000E-06
2458.5	1.264905400E-06
2459.5	1.265030400E-06
2460.5	1.265159700E-06
2461.5	1.265241700E-06
2462.5	1.265249500E-06
2463.5	1.265224000E-06
2464.5	1.265193900E-06
2465.5	1.265183000E-06
2466.5	1.265217000E-06
2467.5	1.265294900E-06
2468.5	1.265397700E-06
2469.5	1.265513800E-06
2470.5	1.265638500E-06
2471.5	1.265767500E-06
2472.5	1.265849100E-06
2473.5	1.265856600E-06
2474.5	1.265830900E-06
2475.5	1.265800400E-06
2476.5	1.265789200E-06
2477.5	1.265822900E-06
2478.5	1.265900500E-06
2479.5	1.266002900E-06
2480.5	1.266118700E-06
2481.5	1.266243100E-06
2482.5	1.266371800E-06
2483.5	1.266453100E-06
2484.5	1.266460300E-06
2485.5	1.266434200E-06
2486.5	1.266403500E-06
2487.5	1.266391900E-06
2488.5	1.266425300E-06
2489.5	1.266502600E-06
2490.5	1.266604700E-06
2491.5	1.266720200E-06
2492.5	1.266844300E-06
2493.5	1.266972700E-06
2494.5	1.267053800E-06
2495.5	1.267060700E-06
2496.5	1.267034300E-06
2497.5	1.267003300E-06
2498.5	1.266991400E-06
2499.5	1.267024500E-06
2500.5	1.267054900E-06
999999999	7.218941000E-07
-END-OF-DATA-	
