-START-OF-DATA-	
2301.5	3.604827800E-04
2302.5	3.603047900E-04
2303.5	3.601228100E-04
2304.5	3.599331100E-04
2305.5	3.597357400E-04
2306.5	3.595316700E-04
2307.5	3.593157300E-04
2308.5	3.590909500E-04
2309.5	3.588724400E-04
2310.5	3.586677200E-04
2311.5	3.584774200E-04
2312.5	3.582994200E-04
2313.5	3.581261100E-04
2314.5	3.579487600E-04
2315.5	3.577636700E-04
2316.5	3.575709200E-04
2317.5	3.573714800E-04
2318.5	3.571602500E-04
2319.5	3.569402700E-04
2320.5	3.567265900E-04
2321.5	3.565266200E-04
2322.5	3.563409700E-04
2323.5	3.561674800E-04
2324.5	3.559985700E-04
2325.5	3.558255700E-04
2326.5	3.556448200E-04
2327.5	3.554564200E-04
2328.5	3.552613300E-04
2329.5	3.550545300E-04
2330.5	3.548391000E-04
2331.5	3.546299700E-04
2332.5	3.544344900E-04
2333.5	3.542532200E-04
2334.5	3.540839900E-04
2335.5	3.539192300E-04
2336.5	3.537503300E-04
2337.5	3.535736700E-04
2338.5	3.533893600E-04
2339.5	3.531983800E-04
2340.5	3.529957800E-04
2341.5	3.527846400E-04
2342.5	3.525798100E-04
2343.5	3.523885900E-04
2344.5	3.522114700E-04
2345.5	3.520462600E-04
2346.5	3.518854200E-04
2347.5	3.517203900E-04
2348.5	3.515476000E-04
2349.5	3.513671700E-04
2350.5	3.511800700E-04
2351.5	3.509814400E-04
2352.5	3.507743700E-04
2353.5	3.505736400E-04
2354.5	3.503864500E-04
2355.5	3.502132600E-04
2356.5	3.500518600E-04
2357.5	3.498947300E-04
2358.5	3.497333800E-04
2359.5	3.495642500E-04
2360.5	3.493874800E-04
2361.5	3.492040800E-04
2362.5	3.490092100E-04
2363.5	3.488060200E-04
2364.5	3.486091700E-04
2365.5	3.484258100E-04
2366.5	3.482563700E-04
2367.5	3.480985900E-04
2368.5	3.479449800E-04
2369.5	3.477871100E-04
2370.5	3.476214500E-04
2371.5	3.474481700E-04
2372.5	3.472682700E-04
2373.5	3.470769900E-04
2374.5	3.468774900E-04
2375.5	3.466843500E-04
2376.5	3.465046400E-04
2377.5	3.463387500E-04
2378.5	3.461844100E-04
2379.5	3.460341600E-04
2380.5	3.458796000E-04
2381.5	3.457172500E-04
2382.5	3.455472900E-04
2383.5	3.453707200E-04
2384.5	3.451828600E-04
2385.5	3.449868700E-04
2386.5	3.447972700E-04
2387.5	3.446210500E-04
2388.5	3.444585600E-04
2389.5	3.443075000E-04
2390.5	3.441604400E-04
2391.5	3.440090300E-04
2392.5	3.438498300E-04
2393.5	3.436830400E-04
2394.5	3.435096500E-04
2395.5	3.433250500E-04
2396.5	3.431324300E-04
2397.5	3.429462000E-04
2398.5	3.427733100E-04
2399.5	3.426140700E-04
2400.5	3.424661400E-04
2401.5	3.423221300E-04
2402.5	3.421737300E-04
2403.5	3.420175400E-04
2404.5	3.418537600E-04
2405.5	3.416834200E-04
2406.5	3.415019400E-04
2407.5	3.413125300E-04
2408.5	3.411295500E-04
2409.5	3.409598500E-04
2410.5	3.408037100E-04
2411.5	3.406587800E-04
2412.5	3.405176800E-04
2413.5	3.403721500E-04
2414.5	3.402188400E-04
2415.5	3.400579500E-04
2416.5	3.398905200E-04
2417.5	3.397120300E-04
2418.5	3.395257100E-04
2419.5	3.393458300E-04
2420.5	3.391791900E-04
2421.5	3.390260200E-04
2422.5	3.388839700E-04
2423.5	3.387456500E-04
2424.5	3.386028800E-04
2425.5	3.384523200E-04
2426.5	3.382942000E-04
2427.5	3.381295500E-04
2428.5	3.379539200E-04
2429.5	3.377705700E-04
2430.5	3.375936700E-04
2431.5	3.374299700E-04
2432.5	3.372796600E-04
2433.5	3.371403600E-04
2434.5	3.370047200E-04
2435.5	3.368645800E-04
2436.5	3.367166600E-04
2437.5	3.365612000E-04
2438.5	3.363992200E-04
2439.5	3.362263500E-04
2440.5	3.360458500E-04
